key,kr,en,jp,zh-sc-gl,zh-sc-zai,th,id,ru,it,pt,es,vi,zh-hant,fr,tr
Kiehls_Quest_Desc_001,키엘 포토존에 설치 된 자전거에 기대 포즈를 취해봐요.,Pose for a nice photo with bicycle.,キールズフォトゾーンにある自転車でポーズをとってみよう〜！,靠着科颜氏拍照区的自行车模型，摆个姿势吧,靠着科颜氏拍照区的自行车模型，摆个姿势吧,โพสท่าพิงโมเดลจักรยานที่จุดถ่ายรูป Kiehl's,Berpose dengan sepeda di Zona Foto Kiehl's.,Позируйте у модели велосипеда в фотозоне Kiehl's.,Mettiti in posa vicino alla bicicletta modello dell'area foto del negozio Kiehl's,Faça uma pose perto da bicicleta na área de fotos da Kiehl.,Haz una pose con la bicicleta modelo en la zona de fotos de Kiehl's.,Chụp một bức ảnh đứng dựa vào chiếc xe đạp mẫu tại Khu Chụp Ảnh của Kiehl.,在契爾氏攝影區的腳踏車模型旁擺出靠著腳踏車的姿勢吧！,Prenez la pose contre le modèle de vélo de la zone photo de Kiehl's.,Kiehl's Fotozon'da harika bir fotoğraf için bisikletle poz ver.
Kiehls_Quest_Title_002,미스터본과 기념사진 찰칵,Mr. Bones,ミスターボーンズと記念写真をカシャ！,和Mr.Bone拍一张纪念照！,和Mr.Bone拍一张纪念照！,ถ่ายรูปกับมิสเตอร์โบนส์เป็นที่ระลึก!,Foto Kenang-kenangan bersama Mr. Bones!,Фото на память с мистером Скелетом!,Foto ricordo con Mr. Bones!,Foto comemorativa com Mr. Bones!,¡Foto conmemorativa con el Sr. Bones!,Chụp hình lưu niệm với Mr. Bones!,和Mr.Bone拍張紀念照！,Prendre une photo avec Mr Bones !,Bay Bones ile hatıra fotoğrafı!
Kiehls_Quest_Desc_002,키엘의 마스코트인 미스터본을 찾아 사진을 찍어봐요.,"Take a photo with Kiehl’s mascot, Mr.Bones",キールズのマスコットキャラクター、ミスターボンズを探して自撮りを撮ってね〜,找到科颜氏吉祥物Mr.Bone自拍吧,找到科颜氏吉祥物Mr.Bone自拍吧,ตามหามิสเตอร์โบนซึ่งเป็นมาสคอตของ Kiehl's แล้วถ่ายเซลฟี่,"Temukan maskot Kiehl's, Mr. Bones, dan selfie bersama.","Найдите талисман Kiehl's, мистера Скелета, и сделайте селфи.","Trova la mascotte di Kiehl's, Mr. Bones e scatta un selfie insieme.","Ache o mascote da Kiehl, Mr. Bones, e tire uma selfie.","Encuentra a la mascota de Kiehl's, el Sr. Bones, y hazte una selfi.","Tìm linh vật của Kiehl, Mr. Bones, và chụp một bức ảnh selfie.",找到契爾氏的吉祥物Mr.Bone並自拍,"Trouvez la mascotte de Kiehl's, Mr Bones, et prenez un selfie.",Kiehl's'ın maskotu Bay Bones'u bul ve bir selfie çekin.
Kiehls_Quest_Title_003,뽀독뽀독 클렌징바,Cleansing Bar,きれいきれいクレンジングバー,干干净净的洁面皂,干干净净的洁面皂,Smoothing Cleansing Bar,Smoothing Cleansing Bar,Разглаживающее очищающее мыло,Saponetta idratante,Sabonete hidratante,Jabón hidratante,Xà Phòng Rửa Mặt Siêu Sạch,清潔溜溜潔顏皂,Cleansing bar rafraîchissant,Pürüzsüzleştirici Temizleme Çubuğu
Kiehls_Quest_Desc_003,우리의 지구를 위해 클렌징 바를 사용해봐요.,Try Kiehl’s eco-friendly cleansing bar.,キールズ環境キャンペーン製品のクレンジングバーを使ってみよう！,为了保护地球环境，使用洁面皂吧,为了保护地球环境，使用洁面皂吧,ลองใช้ Cleansing Bar เพื่อโลกของเรา,Coba cleansing bar ramah lingkungan Kiehl's,Попробуйте экологически чистое очищающее мыло Kiehl's.,Scopri la nuova saponetta ecosostenibile Kiehl's.,Experimente o sabonete ecológico da Kiehl's.,Prueba el jabón sostenible de Kiehl's.,Dùng thử xà phòng rửa mặt thân thiện với môi trường của Kiehl.,為維護地球，使用潔顏皂吧！,Essayez le cleansing bar écologique de Kiehl's pour notre planète.,Kiehl’s çevre dostu temizleme çubuğunu dene.
Kiehls_Quest_Title_004,시원한 아이스 아메리카노!,Iced Coffee Time,ひんやりアイスアコーヒー！,凉爽的冰美式！,凉爽的冰美式！,ไอซ์อเมริกาโน่เย็นชื่นใจ!,Es Americano yang Dingin!,Американо со льдом!,Un buon caffè americano freddo!,Americano gelado!,¡Americano helado!,Americano Đá Mát Lạnh!,清涼的冰美式咖啡！,Americano glacé bien frais !,Soğuk Buzlu Americano!
Kiehls_Quest_Desc_004,2층 루프탑 카페에서 텀플러를 획득해요.,Get Kiehl’s eco-friendly tumbler at the rooftop cafe.,キールズショップの2階にある屋外カフェで、タンブラーを獲得してね！,在科颜氏门店2层的露天咖啡店获得保温杯吧,在科颜氏门店2层的露天咖啡店获得保温杯吧,รับแก้วทัมเบลอร์ที่รูฟท็อปคาเฟ่บนชั้น 2 ของช็อป Kiehl's,Dapatkan tumbler dari kafe di lantai 2 toko Kiehl's,Приобретите тамблер в кафе на втором этаже магазине Kiehl's.,Ordina un bicchiere di caffè al bar situato al secondo piano del negozio Kiehl's,Obtenha o copo americano no café no 2º. andar da loja da Kiehl.,"Consigue el vaso en la cafetería del 2.º piso, en la tienda Kiehl's.",Nhận bình nước từ tiệm cà phê trên tầng 2 của cửa hàng Kiehl,在契爾氏門市2樓頂樓咖啡廳取得隨行杯吧！,Obtenez le gobelet au café du 1er étage du magasin Kiehl's.,Kiehl's mağazasının 2. katındaki kafeden termos bardağı al
Kiehls_Quest_Title_005,공병 반납 하기,Return Empty Bottles,空ボトル回収キャンペーン,空瓶回收活动,空瓶回收活动,แคมเปญคืนขวดเปล่า,Kampanye Pengembalian Botol Kosong,Кампания по возврату пустых баночек,Campagna di restituzione dei flaconi vuoti,Campanha de Reciclagem de Frascos Vazios,Campaña de recuperación de frascos vacíos,Chiến Dịch Trả Chai Rỗng,空瓶回收活動,Campagne de renvoi des bouteilles vides,Boş Şişe İade Kampanyası
Kiehls_Quest_Desc_005,"칼렌듈라 꽃밭에서 공병을 찾아, 키엘 팝업의 공병 수거함에 3회 반납해주세요.",Find an empty bottle in the calendula flower garden and return the bottle to the bottle collection box inside the Kiehl's pop-up. <br>Repeat 3 times to claim your prize.,カレンデュラのお花畑で空ボトルを探して、キールズポップアップの空ボトル回収箱に3回返却しよう！,捡起被扔在金盏花花丛中的空瓶，放入科颜氏快闪店空瓶回收箱3次,捡起被扔在金盏花花丛中的空瓶，放入科颜氏快闪店空瓶回收箱3次,ตามหาขวดเปล่าที่ถูกทิ้งไว้ในสวนดอกคาเลนดูล่า แล้วนำไปคืนที่จุดเก็บขวดเปล่าในป๊อปอัปสโตร์ Kiehl's 3 ครั้ง,Temukan botol kosong di taman bunga Calendula dan kembalikan ke kotak pengumpulan botol di toko pop-up Kiehl's 3 kali.,Найдите пустые баночки в ромашковом саду и верните их в бокс для приема баночек во временном магазине Kiehl's 3 раза.,Preleva i flaconi vuoti dal giardino dei fiori di calendula per depositarli nell’apposito contenitore di raccolta del negozio Kiehl’s per 3 volte.,Ache frascos vazios no jardim de calêndulas e leve-os para a caixa de coleta de frascos vazios na lojinha da Kiehl's. Você deve fazer isso 3 vezes.,Encuentra los frascos vacíos en el jardín caléndula y devuévelos a la caja de recolección de frascos vacíos en la tienda efímera Kiehl's. Hazlo 3 veces.,Tìm các chai rỗng trong vườn hoa cúc và đặt chúng vào hộp thu gom chai rỗng trong cửa hàng pop-up của Kiehl 3 lần.,在金盞花圃撿拾3個廢棄空瓶並放入契爾氏快閃店空瓶回收箱,Trouvez les bouteilles vides dans le parterre de fleurs de calendula et remettez-les dans la boîte de collecte de bouteilles vides de Kiehl's Pop-up 3 fois.,Kadife çiçeği bahçesindeki boş şişeleri bul ve Kiehl's gezici mağazasındaki şişe toplama kutusuna 3 defa geri koy.
Kiehls_Quest_Title_006,공병 플로깅하고 재활용하기,Recycle Empty Bottles,クレム・ドゥ・コール,捡跑空瓶再利用,捡跑空瓶再利用,เก็บขวดเปล่ามารีไซเคิล,Daur Ulang Botol Kosong,Отправляйте пустые баночки на переработку,Ricicla i flaconi vuoti,Recicle frascos vazios,Recicla los frascos vacíos,Tái Chế Chai Rỗng,撿拾空瓶並活用,Ramasser et recycler des bouteilles vides,Boş Şişeleri Geri Dönüştür
Kiehls_Quest_Desc_006_1,칼렌듈라 꽃밭에서 버려진 공병을  찾아보세요.,Find empty bottles inside the calendula flower garden.,カレンデュラのお花畑で空ボトルを探してみてね。,在金盏花花园找到空瓶,在金盏花花园找到空瓶,ตามหาขวดเปล่าในสวนดอกคาเลนดูล่า,Cari botol kosong di taman bunga Calendula.,Ищите пустые баночки в ромашковом саду.,Cerca i flaconi vuoti nascosti nel giardino dei fiori di calendula.,Procure frascos vazios no jardim de calêndulas.,Busca frascos vacíos en el jardín caléndula.,Tìm chai rỗng trong vườn hoa cúc.,在金盞花花圃尋找空瓶吧！,Trouvez des bouteilles vides dans le parterre de fleurs de calendula.,Kadife çiçeği bahçesinde boş şişeleri ara.
Kiehls_Quest_Desc_006_2,"공병을 들고, 루프탑 카페의 미니 화단으로 이동해요. 미니 화단에서 공병 화분에 칼렌듈라 꽃을 심어보세요!",Take the empty bottle to the mini-garden. You can plant calendula flowers with recycled empty bottle.,空ボトルを持って、ミニ花壇に移動しよう。ミニ花壇でカレンデュラのお花を育てることができるよ！,拿着空瓶，前往迷你花坛，在迷你花坛可以体验种植金盏花,拿着空瓶，前往迷你花坛，在迷你花坛可以体验种植金盏花,ถือขวดเปล่าไปยังสวนจิ๋ว สามารถทดลองปลูกดอกคาเลนดูล่าในสวนจิ๋วได้ด้วยนะ!,Bawa botol kosong dan pindah ke taman mini. Kamu bisa menanam bunga calendula di taman mini!,Отнесите пустую баночку Kiehl's в мини-сад. Вы можете посадить ромашку в мини-саду!,Prendi un flacone vuoto e raggiungi il giardinetto dove potrai piantare i semi della pianta della calendula!,Pegue o frasco vazio e vá para o minijardim. Você pode plantar flores de calêndula lá!,Lleva el frasco vacío al minijardín. ¡Puedes plantar flores de caléndulas en el minijardín!,Cầm chai rỗng và di chuyển đến khu vườn nhỏ. Bạn có thể trồng hoa cúc trong khu vườn nhỏ!,拿著空瓶前往迷你花圃，在迷你花圃可種植金盞花,Prenez la bouteille vide et allez dans la petite plate-bande. Vous pouvez faire l'expérience de la plantation de fleurs de calendula dans la petite plate-bande !,Boş şişeyi al ve küçük bahçeye git. Küçük bahçeye kadife çiçekleri ekebilirsin!
Kiehls_Quest_Desc_006_3,"키엘 브릿지 옆의 메리고라운드를 찾아봐요. 단상 위에 공병 화분을 올리면, 페달을 돌려 메리고라운드를 움직일 수 있어요.",Find the carousel next to the bridge. Place the flower vase on the platform to activate the carousel.,キールズ橋の隣にあるメリーゴーランドを探してみよう。メリーゴーランドの上にカレンデュラの花瓶を乗せてペダルを回すと、メリーゴーランドを動かせるよ！,在科颜氏桥旁边找到旋转木马。将金盏花花瓶放在台子上，转动踏板可以让旋转木马转动,在科颜氏桥旁边找到旋转木马。将金盏花花瓶放在台子上，转动踏板可以让旋转木马转动,ตามหาม้าหมุนที่อยู่ข้างๆ สะพาน Kiehl's หากนำขวดดอกไม้ไปวางบนแท่น จะสามารถเหยียบคันเหยียบเพื่อทำให้ม้าหมุนเคลื่อนได้,"Temukan korsel di sebelah jembatan Kiehl's. Letakkan vas bunga di platform, dan kayuh pedal untuk mengaktifkan korsel.","Найдите карусель у моста Kiehl's. Поместите вазу на платформу и поверните педаль, чтобы активировать карусель.",Trova la giostra nei pressi del ponte Kiehl's. Posiziona il vaso sulla piattaforma e usa il pedale per avviare la giostra.,Ache o carrossel próximo à ponte da Kiehl. Coloque o vaso na plataforma e gire o pedal para ativar o carrossel.,Encuentra el carrusel cerca del puente Kiehl's. Coloca el jarrón en la plataforma y gira el pedal para activar el carrusel.,"Tìm đu quay thú nhún ở bên cạnh cầu Kiehl. Đặt một lọ hoa trên bục, và xoay bàn đạp để khởi động đu quay.",前往契爾氏橋旁的旋轉木馬，將金盞花花瓶放在台子上，轉動踏板就能啟動旋轉木馬,"Trouvez le manège à côté du pont de Kiehl's. Placez le vase sur la plateforme, et tournez la pédale pour mettre le manège en marche.",Kiehl's köprüsünün yanındaki atlıkarıncayı bul. Vazoyu platforma yerleştir ve atlıkarıncayı etkinleştirmek için kolu çevir.
zw_quest_alert_clear,퀘스트를 클리어 했습니다! 스탬프를 획득하세요.,You've cleared all the quests! Receive the stamps.,クエストをクリアしたよ！ スタンプを獲得しよう！,任务已完成！领取印章吧,任务已完成！领取印章吧,เคลียร์เควสต์เรียบร้อยแล้ว! รับสแตมป์ได้เลย,Anda telah menyelesaikan semua misi! Terima stempelnya.,Вы завершили все квесты!! Получите печати.,Hai completato tutte le missioni! Ricevi subito i francobolli.,Concluiu todas as missões! Receba as estampas.,¡Completaste todas las misiones! Aquí tienes las recompensas.,Bạn đã hoàn thành tất cả các nhiệm vụ! Hãy nhận con dấu.,任務完成！請領取印章,Vous avez terminé toutes les quêtes ! Obtenez les tampons.,Bütün görevleri tamamladın! Damgaları al.
zw_quest_alert_reward,보상 게이지를 채웠습니다! 보물상자를 눌러 보상을 수령하세요.,The reward gauge has been filled! Click on the treasure box to collect the reward.,ボーナスゲージが満タンだよ！宝箱をタップして、報酬を受け取ってね。,已填满奖励计量器！点击宝箱领取奖励吧,已填满奖励计量器！点击宝箱领取奖励吧,แถบรางวัลเต็มแล้ว! กดที่กล่องรางวัลเพื่อรับรางวัล,"Meteran hadiah sudah terisi!
Klik kotak harta karun untuk mengambil hadiah.","Шкала наград заполнена! Нажмите на сундук с сокровищами, чтобы получить награду.",L'indicatore della ricompensa è ora al massimo livello! Clicca sullo scrigno del tesoro per riscattarla.,A barra de recompensas foi preenchida! Clique no baú para coletar a recompensa.,¡Se llenó el medidor de recompensas! Haz clic en el cofre del tesoro para recolectar la recompensa.,Đã hoàn thành chỉ tiêu nhận thưởng! Nhấn vào hộp kho báu để thu thập phần thưởng.,獎勵計量條已滿！點選禮物箱領取獎勵吧！,La jauge de récompense a été remplie ! Cliquez sur le coffre au trésor pour récupérer la récompense.,Ödül göstergesi dolduruldu! Ödülü toplamak için hazine kutusuna tıkla.
zw_quest_alert_repeat,보상 게이지를 채웠습니다! 보물상자를 눌러 보상을 수령하세요.,You've cleared all the quests! Receive the rewards.,クエストを全部クリアしたよ！ 報酬を獲得しよう！,已完成全部任务！领取奖励吧,已完成全部任务！领取奖励吧,เคลียร์เควสต์ทั้งหมดแล้ว! รับ รางวัลได้เลย,Anda telah menyelesaikan semua misi! Terima hadiah.,Вы завершили все квесты!! Получите награды.,Hai completato tutte le missioni! Ricevi le ricompense.,Concluiu todas as missões! Receba as recompensas.,¡Completaste todas las misiones! Aquí tienes las recompensas.,Bạn đã hoàn thành tất cả các nhiệm vụ! Hãy nhận thưởng.,已完成所有任務！請領取獎勵,Vous avez terminé toutes les quêtes ! Obtenez les récompenses.,Bütün görevleri tamamladın! Al: Ödüller.
zw_quest_alert_connect,퀘스트를 클리어했습니다! 다음 퀘스트를 확인해주세요!,You've cleared the quest! Please check for next quest!,クエストをクリアしたよ！次のクエストを確認しよう！,任务完成！查看下一个任务吧！,任务完成！查看下一个任务吧！,เคลียร์เควสต์เรียบร้อยแล้ว! โปรดตรวจสอบเควสต์ต่อไป!,Anda telah menyelesaikan misi! Silakan periksa misi selanjutnya!,"Квест выполнен! Узнайте, какой квест вас ждет дальше!",Hai completato la missione! Scopri qual è la prossima sfida da completare!,Concluiu a missão! Veja a próxima missão!,¡Completaste la misión! ¡Busca la siguiente!,Bạn đã hoàn thành tất cả các nhiệm vụ! Hãy xem nhiệm vụ tiếp theo!,已完成任務！請查看下一個任務！,Vous avez terminé la quête ! Veuillez vous renseigner sur la prochaine quête !,Görevi tamamladın! Lütfen bir sonraki görev için kontrol et.
zw_quest_popup_Title_world,월드 퀘스트,World Quest,ワールドクエスト,世界任务,世界任务,เควสต์ World,Misi Dunia,Квест Мира,Missione del Mondo,Missão de Mundo,Misión de Mundo,Nhiệm Vụ World,世界任務,Quête du Monde,Dünya Görevi
zw_quest_popup_Title_daily,데일리 퀘스트,Daily Quest,デイリークエスト,每日任务,每日任务,เควสต์ประจำวัน,Misi Harian,Ежедневный квест,Missione del giorno,Missão Diária,Misión diaria,Nhiệm Vụ Hàng Ngày,每日任務,Quête quotidienne,Günlük Görev
zw_quest_popup_Title_event,이벤트 퀘스트,Event Quest,イベントクエスト,活动任务,活动任务,เควสต์กิจกรรม,Misi Event,Квест на событие,Missione evento,Missão de Evento,Misión de evento,Nhiệm Vụ Sự Kiện,活動任務,Quête d'évènements,Etkinlik Görevi
zw_quest_reward_button,확인,View,確認,确认,确认,ตรวจสอบ,Lihat,Просмотреть,Visualizza,Ver,Ver,Xem,確認,Confirmer,Görüntüle
zw_quest_reward_item_check,지금 착용하기,Equip Now,今すぐ着替える,现在穿戴,现在穿戴,สวมใส่ตอนนี้,Pakai Sekarang,Экипируйте сейчас,Applica ora elementi,Equipar agora,Equipar ahora,Trang Bị Ngay,立刻配戴,Essayer maintenant,Şimdi Kuşan
zw_quest_reward_worlditem_check,지금 사용하기,Use Now,今すぐ使う,现在使用,现在使用,ใช้ตอนนี้,Gunakan Sekarang,Используйте сейчас,Usa ora,Usar agora,Usar ahora,Dùng Ngay,立刻使用,Utiliser maintenant,Şimdi Kullan
screenshot_screenshotShootDone,촬영 완료! 올리시겠습니까?,Photo shoot complete! Upload now?,撮影完了！さっそくアップする？,拍好啦！要上传吗？,拍好啦！要上传吗？,ถ่ายสำเร็จ! ต้องการอัปโหลดหรือไม่?,Selesai! Unggah?,Съемка завершена. Загрузить фотографию сейчас?,Shooting terminato! Vuoi caricare le foto ora?,Sessão de fotos concluída! Enviar agora?,¡Sesión de fotos completada! ¿Cargar ahora?,Đã chụp xong! Đăng tải ngay?,拍攝完畢！要上傳嗎？,Shooting terminé ! Voulez-vous télécharger ?,Fotoğraf çekimi tamamlandı! Şimdi yüklensin mi?
screenshot_screenshotEdit,편집,Edit,編集,编辑,编辑,แก้ไข,Mengedit,Редактировать,Modifica,Editar,Editar,Chỉnh Sửa,編輯,Modifier,Düzenle
screenshotUpload,게시물 등록,Post,投稿する,发布作品,发布作品,อัปโหลดโพสต์,Posting,Опубликовать,Pubblica,Publicar,Publicar,Đăng,上傳作品,Poster,Gönderi
screenshot_toastFail,FAIL,FAIL,FAIL,失败,失败,FAIL,GAGAL,СБОЙ,ERRORE,ERRO,FALLO,FAIL,FAIL,FAIL,BAŞARISIZ
screenshot_toastSuccess,완료,Done,完了,完成,完成,สำเร็จ,Selesai,Готово,Operazione completata,Pronto,Listo,Hoàn Tất,完成,Terminer,Tamam
screenshot_toastProgress,진행 중...,In progress...,進行中…,进行中...,进行中...,กำลังดำเนินการ...,Sedang berlangsung,Выполняется...,In corso...,Em andamento...,En progreso...,Đang tiến hành...,進行中......,En cours...,Devam ediyor...
screenshot_previewUpload,게시물 등록,Post,投稿する,发布作品,发布作品,อัปโหลดโพสต์,Posting,Опубликовать,Pubblica,Publicar,Publicar,Đăng,上傳作品,Poster,Gönderi
screenshot_previewDescriptionTitle,설명,Description,説明,介绍,介绍,คำอธิบาย,Deskripsi,Описание,Descrizione,Descrição,Descripción,Miêu Tả,說明,Description,Açıklama
screenshot_previewFeedMessagePlaceHolder,#ZEPETOWorld #FourSeasonsGarden #Kiehls,#ZEPETOWorld #FourSeasonsGarden #Kiehls,#ZEPETOWorld #FourSeasonsGarden #Kiehls,#ZEPETOWorld #FourSeasonsGarden #Kiehls,#ZEPETOWorld #FourSeasonsGarden #Kiehls,#ZEPETOWorld #FourSeasonsGarden #Kiehls,#ZEPETOWorld #FourSeasonsGarden #Kiehls,#ZEPETOWorld #FourSeasonsGarden #Kiehls,#ZEPETOWorld #FourSeasonsGarden #Kiehls,#ZEPETOWorld #FourSeasonsGarden #Kiehls,#ZEPETOWorld #FourSeasonsGarden #Kiehls,#ZEPETOWorld #FourSeasonsGarden #Kiehls,#ZEPETOWorld #FourSeasonsGarden #Kiehls,#ZEPETOWorld #FourSeasonsGarden #Kiehls,#ZEPETOWorld #FourSeasonsGarden #Kiehls
screenshot_toastMaxCharacter,최대 150자,Max 150 characters,最大150文字,最多150字,最多150字,สูงสุด 150 ตัว,Maksimal 150 kata,Макс. 150 символов,Limite max. di 150 caratteri,Máx. 150 caracteres,150 caracteres como máx.,Tối đa 150 kí tự,最多150字,150 caractères maximum,Maks. 150 karakter
zw_quest_alert_reward_check,퀘스트 클리어 보상을 받았어요! <br>선물함에서 획득한 아이템을 확인해 보세요.,You've received a quest clear reward! <br>Check out the item in the gift box.,クエストクリアボーナスをゲット！<br>プレゼントBOXで確認できるよ！,收到了任务完成奖励！<br>请在礼物盒确认获得的商品,收到了任务完成奖励！<br>请在礼物盒确认获得的商品,คุณได้รับรางวัลเคลียร์เควสท์! <br>ตรวจสอบไอเทมในกล่องของขวัญ,Hadiah penyelesaian misi didapat! <br>Cek itemnya di kotak hadiah.,Вы получили награду за выполнение квеста!<br>Ваш предмет — в Подарочной коробке.,Hai ricevuto una ricompensa per aver completato la missione!<br>Scopri cos'hai vinto nella scatola regalo.,Recebeu uma recompensa de conclusão de missão! <br>Confira o item na caixa de presentes.,¡Recibiste una recompensa por completar la misión!<br>La encontrarás en la caja de regalo.,Bạn đã nhận được thưởng hoàn thành nhiệm vụ! <br>Kiểm tra vật phẩm trong hộp quà.,收到了任務完成獎勵！<br>請在禮物盒確認獲得的物品,Vous avez reçu une récompense pour terminer une quête ! <br>Vérifiez les articles dans le coffret cadeau.,Görev tamamlama ödülü aldın! <br>Hediye kutusundan ögeyi kontrol et.
zw_quest_linked_button,연결 퀘스트 보기,View linked quests,クエストをチェック,查看连接任务,查看连接任务,ดูเควสท์ทั้งหมด,Lihat misi,Посмотреть все квесты,Visualizza tutte le missioni,Ver todas as missões,Ver todas las misiones,Xem tất cả nhiệm vụ,查看鏈結任務,Voir les quêtes liées,Tüm görevlere bak
zw_loading_skip,Tap the screen to skip,Tap the screen to skip,画面をタップしてスキップしてね！,点击屏幕跳过,点击屏幕跳过,แตะเพื่อข้าม,Ketuk untuk melewati,"Коснитесь экрана, чтобы пропустить",Tocca lo schermo per saltare,Toque na tela para ignorar,Toca la pantalla para omitir,Chạm màn hình để bỏ qua,點擊螢幕略過,Touchez l'écran pour sauter.,Geçmek için ekrana dokun
Kiehls_marrigoround_popup_button_cancle,취소,Cancel,キャンセル,取消,取消,ยกเลิก,Batal,Отмена,Annulla,Cancelar,Cancelar,Hủy,取消,Annuler,İptal Et
zw_quest_msg_complete,퀘스트 완료,Quest Clear,クエストクリア,已完成任务,已完成任务,เควสต์เคลียร์,Misi Selesai,Квест завершен,Missione completata,Missão Concluída,Misión completada,Nhiệm Vụ Hoàn Thành,任務完成,Quête accomplie,Görevi Tamamla
warning_connection,제페토 월드와의 통신이 끊어졌어요.<br>다시 접속할까요?,You've lost your connection to ZEPETO World.<br>Try again?,ZEPETO Worldとの通信が<br>切れてしまいました。<br>もう一度接続しますか？,,,การเชื่อมต่อกับ ZEPETO WORLD ถูกตัดขาด<br>ต้องการเชื่อมต่ออีกครั้งหรือไม่?,Kamu kehilangan koneksi Dunia ZEPETO.<br>Apakah kamu ingin mencoba untuk terhubung lagi?,Связь с Миром ZEPETO прервана.<br>Повторить подключение?,Hai perso la connessione al Mondo ZEPETO.<br>Vuoi riprovare?,Conexão perdida com o Mundo ZEPETO.<br>Tentar novamente?,Perdiste la conexión con el Mundo ZEPETO.<br>¿Intentar de nuevo?,Bạn đã mất kết nối với ZEPETO World.<br>Thử lại?,ZEPETO世界已斷線，<br>要重新連線嗎？,Vous avez perdu la connexion au Monde ZEPETO.<br>Voulez-vous vous reconnecter ?,ZEPETO Dünyası ile bağlantın koptu.<br>Tekrar denensin mi?
ok,OK,OK,確認,OK,OK,OK,OK,ОК,OK,OK,OK,OK,OK,OK,Tamam
